Datetime,CPU
2023-04-05 00:50:29,False
2023-04-05 00:50:30,False
2023-04-05 00:50:31,False
2023-04-05 00:50:32,False
2023-04-05 00:50:33,False
2023-04-05 00:50:34,False
2023-04-05 00:50:35,False
2023-04-05 00:50:36,False
2023-04-05 00:50:37,False
2023-04-05 00:50:38,False
2023-04-05 00:50:39,False
2023-04-05 00:50:40,False
2023-04-05 00:50:41,False
2023-04-05 00:50:42,False
2023-04-05 00:50:43,False
2023-04-05 00:50:44,False
2023-04-05 00:50:45,False
2023-04-05 00:50:46,False
2023-04-05 00:50:47,False
2023-04-05 00:50:48,False
2023-04-05 00:50:49,False
2023-04-05 00:50:50,False
2023-04-05 00:50:51,False
2023-04-05 00:50:52,False
2023-04-05 00:50:53,False
2023-04-05 00:50:54,False
2023-04-05 00:50:55,False
2023-04-05 00:50:56,False
2023-04-05 00:50:57,False
2023-04-05 00:50:58,False
2023-04-05 00:50:59,False
2023-04-05 00:51:00,False
2023-04-05 00:51:01,False
2023-04-05 00:51:02,False
2023-04-05 00:51:03,False
2023-04-05 00:51:04,False
2023-04-05 00:51:05,False
2023-04-05 00:51:06,False
2023-04-05 00:51:07,False
2023-04-05 00:51:08,False
2023-04-05 00:51:09,False
2023-04-05 00:51:10,False
2023-04-05 00:51:11,False
2023-04-05 00:51:12,False
2023-04-05 00:51:13,False
2023-04-05 00:51:14,False
2023-04-05 00:51:15,False
2023-04-05 00:51:16,False
2023-04-05 00:51:17,False
2023-04-05 00:51:18,False
2023-04-05 00:51:19,False
2023-04-05 00:51:20,False
2023-04-05 00:51:21,False
2023-04-05 00:51:22,False
2023-04-05 00:51:23,False
2023-04-05 00:51:24,False
2023-04-05 00:51:25,False
2023-04-05 00:51:26,False
2023-04-05 00:51:27,False
2023-04-05 00:51:28,False
2023-04-05 00:51:29,False
2023-04-05 00:51:30,False
2023-04-05 00:51:31,False
2023-04-05 00:51:32,False
2023-04-05 00:51:33,False
2023-04-05 00:51:34,False
2023-04-05 00:51:35,False
2023-04-05 00:51:36,False
2023-04-05 00:51:37,False
2023-04-05 00:51:38,False
2023-04-05 00:51:39,False
2023-04-05 00:51:40,False
2023-04-05 00:51:41,False
2023-04-05 00:51:42,False
2023-04-05 00:51:43,True
2023-04-05 00:51:44,False
2023-04-05 00:51:45,False
2023-04-05 00:51:46,False
2023-04-05 00:51:47,False
2023-04-05 00:51:48,False
2023-04-05 00:51:50,False
2023-04-05 00:51:51,False
2023-04-05 00:51:52,False
2023-04-05 00:51:53,False
2023-04-05 00:51:54,False
2023-04-05 00:51:55,False
2023-04-05 00:51:56,False
2023-04-05 00:51:57,False
2023-04-05 00:51:58,False
2023-04-05 00:51:59,False
2023-04-05 00:52:00,False
2023-04-05 00:52:01,False
2023-04-05 00:52:02,False
2023-04-05 00:52:03,False
2023-04-05 00:52:04,False
2023-04-05 00:52:05,False
2023-04-05 00:52:06,False
2023-04-05 00:52:07,False
2023-04-05 00:52:08,False
2023-04-05 00:52:09,False
2023-04-05 00:52:10,False
2023-04-05 00:52:11,False
2023-04-05 00:52:12,False
2023-04-05 00:52:13,False
2023-04-05 00:52:14,False
2023-04-05 00:52:15,False
2023-04-05 00:52:16,False
2023-04-05 00:52:17,False
2023-04-05 00:52:18,False
2023-04-05 00:52:19,False
2023-04-05 00:52:20,False
2023-04-05 00:52:21,False
2023-04-05 00:52:22,False
2023-04-05 00:52:23,False
2023-04-05 00:52:24,False
2023-04-05 00:52:25,False
2023-04-05 00:52:26,False
2023-04-05 00:52:27,False
2023-04-05 00:52:28,False
2023-04-05 00:52:29,False
2023-04-05 00:52:30,False
2023-04-05 00:52:31,False
2023-04-05 00:52:32,False
2023-04-05 00:52:33,False
2023-04-05 00:52:34,False
2023-04-05 00:52:35,False
2023-04-05 00:52:36,False
2023-04-05 00:52:37,False
2023-04-05 00:52:38,False
2023-04-05 00:52:39,False
2023-04-05 00:52:40,False
2023-04-05 00:52:41,False
2023-04-05 00:52:42,False
2023-04-05 00:52:43,False
2023-04-05 00:52:44,False
2023-04-05 00:52:46,False
2023-04-05 00:52:47,False
2023-04-05 00:52:48,False
2023-04-05 00:52:49,False
2023-04-05 00:52:50,False
2023-04-05 00:52:51,False
2023-04-05 00:52:52,False
2023-04-05 00:52:53,False
2023-04-05 00:52:54,False
2023-04-05 00:52:55,False
2023-04-05 00:52:56,False
2023-04-05 00:52:57,False
2023-04-05 00:52:58,False
2023-04-05 00:52:59,False
2023-04-05 00:53:00,False
2023-04-05 00:53:01,False
2023-04-05 00:53:02,False
2023-04-05 00:53:03,False
2023-04-05 00:53:04,False
2023-04-05 00:53:05,False
2023-04-05 00:53:06,False
2023-04-05 00:53:07,False
2023-04-05 00:53:08,False
2023-04-05 00:53:09,False
2023-04-05 00:53:10,False
2023-04-05 00:53:11,False
2023-04-05 00:53:12,False
2023-04-05 00:53:13,False
2023-04-05 00:53:14,False
2023-04-05 00:53:15,False
2023-04-05 00:53:16,False
2023-04-05 00:53:17,False
2023-04-05 00:53:18,False
2023-04-05 00:53:19,False
2023-04-05 00:53:20,False
2023-04-05 00:53:21,False
2023-04-05 00:53:22,False
2023-04-05 00:53:23,False
2023-04-05 00:53:24,False
2023-04-05 00:53:25,False
2023-04-05 00:53:26,False
2023-04-05 00:53:27,False
2023-04-05 00:53:28,False
2023-04-05 00:53:29,False
2023-04-05 00:53:30,False
2023-04-05 00:53:31,False
2023-04-05 00:53:32,False
2023-04-05 00:53:33,False
2023-04-05 00:53:34,False
2023-04-05 00:53:35,False
2023-04-05 00:53:36,False
2023-04-05 00:53:37,False
2023-04-05 00:53:38,False
2023-04-05 00:53:39,False
2023-04-05 00:53:40,False
2023-04-05 00:53:41,False
2023-04-05 00:53:42,False
2023-04-05 00:53:43,False
2023-04-05 00:53:44,False
2023-04-05 00:53:45,False
2023-04-05 00:53:46,False
2023-04-05 00:53:48,False
2023-04-05 00:53:49,False
2023-04-05 00:53:50,False
2023-04-05 00:53:51,False
2023-04-05 00:53:52,False
2023-04-05 00:53:53,False
2023-04-05 00:53:54,False
2023-04-05 00:53:55,False
2023-04-05 00:53:56,False
2023-04-05 00:53:57,False
2023-04-05 00:53:58,False
2023-04-05 00:53:59,False
2023-04-05 00:54:00,False
2023-04-05 00:54:01,False
2023-04-05 00:54:02,False
2023-04-05 00:54:03,False
2023-04-05 00:54:04,False
2023-04-05 00:54:05,False
2023-04-05 00:54:06,False
2023-04-05 00:54:07,False
2023-04-05 00:54:08,False
2023-04-05 00:54:09,False
2023-04-05 00:54:10,False
2023-04-05 00:54:11,False
2023-04-05 00:54:12,False
2023-04-05 00:54:13,False
2023-04-05 00:54:14,False
2023-04-05 00:54:15,False
2023-04-05 00:54:16,False
2023-04-05 00:54:17,False
2023-04-05 00:54:18,False
2023-04-05 00:54:19,False
2023-04-05 00:54:20,False
2023-04-05 00:54:21,False
2023-04-05 00:54:22,False
2023-04-05 00:54:23,False
2023-04-05 00:54:24,False
2023-04-05 00:54:25,False
2023-04-05 00:54:26,False
2023-04-05 00:54:27,False
2023-04-05 00:54:28,False
2023-04-05 00:54:29,False
2023-04-05 00:54:30,False
2023-04-05 00:54:31,False
2023-04-05 00:54:32,False
2023-04-05 00:54:33,False
2023-04-05 00:54:34,False
2023-04-05 00:54:35,False
2023-04-05 00:54:36,False
2023-04-05 00:54:37,False
2023-04-05 00:54:38,False
2023-04-05 00:54:39,False
2023-04-05 00:54:40,False
2023-04-05 00:54:41,False
2023-04-05 00:54:42,False
2023-04-05 00:54:43,False
2023-04-05 00:54:44,False
2023-04-05 00:54:45,False
2023-04-05 00:54:46,False
2023-04-05 00:54:47,False
2023-04-05 00:54:48,False
2023-04-05 00:54:49,False
2023-04-05 00:54:50,False
2023-04-05 00:54:51,False
2023-04-05 00:54:52,False
2023-04-05 00:54:54,False
2023-04-05 00:54:55,False
2023-04-05 00:54:56,False
2023-04-05 00:54:57,False
2023-04-05 00:54:58,False
2023-04-05 00:54:59,False
2023-04-05 00:55:00,False
2023-04-05 00:55:01,False
2023-04-05 00:55:02,False
2023-04-05 00:55:03,False
2023-04-05 00:55:04,False
2023-04-05 00:55:05,False
2023-04-05 00:55:06,False
2023-04-05 00:55:07,False
2023-04-05 00:55:08,False
2023-04-05 00:55:09,False
2023-04-05 00:55:10,False
2023-04-05 00:55:11,False
2023-04-05 00:55:12,False
2023-04-05 00:55:13,False
2023-04-05 00:55:14,False
2023-04-05 00:55:15,False
2023-04-05 00:55:16,False
2023-04-05 00:55:17,False
2023-04-05 00:55:18,False
2023-04-05 00:55:19,False
2023-04-05 00:55:20,False
2023-04-05 00:55:21,False
2023-04-05 00:55:22,False
2023-04-05 00:55:23,False
2023-04-05 00:55:24,False
2023-04-05 00:55:25,False
2023-04-05 00:55:26,False
2023-04-05 00:55:27,False
2023-04-05 00:55:28,False
